time,Active,Quiescent,Nutrients,Viruses,Infected_Quiescent
0.0,47.3606,47.3606,100000.0,1.0727,0.0
0.031543349838837866,48.44426512175549,47.198219565079434,99998.33794901811,1.0685591526306506,0.00029508524400978617
0.13605086414721262,52.15703582583038,46.69257029134677,99992.55731869378,1.0554333093954453,0.0012572169674085105
0.2858616812254252,57.82581924779813,46.05586007015342,99983.50099920457,1.0382202887336618,0.00259819563520058
0.4615612142451286,65.03881785952075,45.44516811041979,99971.63829912106,1.0204792354471857,0.004121007859972034
0.6745926798370039,74.68969693301999,44.90961468324694,99955.28714603474,1.0026173460888337,0.005908490462743246
0.9152111585949436,86.93385325315083,44.589204151236686,99933.93134209335,0.9874862041256799,0.00787031541280111
1.1847650309956101,102.58866381342946,44.6136822347389,99905.88803488517,0.977372751907039,0.010026301063352564
1.4773585626803296,122.27409162498049,45.13898665437622,99869.78285465388,0.9754888942553815,0.012359003615489902
1.7906973896994334,147.01161342536759,46.33871317634333,99823.49308151717,0.9856348867799127,0.014907685835142995
2.1201570627378468,177.8700189483667,48.400434992294294,99764.78736577477,1.0127942850049976,0.01772776952644639
2.4614937474687015,216.12433315458148,51.526547556248715,99691.0398518976,1.063791750199409,0.020922954028792184
2.8075216042381874,262.77142248732713,55.88843094692205,99600.17437386449,1.1476608267578468,0.0246261126951657
3.1535494610076733,318.989376966907,61.65733410029347,99489.78975983027,1.2778684411229595,0.02906914850548396
3.499577317777159,386.7775253236927,69.08637456025986,99355.87446444141,1.4780173929714677,0.03468543088304005
3.845605174546645,468.54822158360645,78.48413061686536,99193.57976859213,1.7897214458585335,0.042205424925861205
4.135529208629116,549.9286039379739,88.14485792299618,99031.51596047427,2.1913384625350822,0.05089917330838025
4.4260097491013575,645.3826790081911,99.73664943534979,98840.94918989851,2.8091006350743326,0.06323899029984428
4.679995817749174,742.1189758238439,111.68265711493054,98647.43683916394,3.6451896446622527,0.07894397971745513
4.937511948620965,854.8075249270439,125.7754100652418,98421.63000891876,4.979575307934611,0.10282294218919509
5.195028079492755,984.3726854226707,142.14591445766342,98161.56662287338,7.188981973555654,0.14077655488296564
5.452544210364546,1133.2727291357253,161.11584467314523,97862.12456478411,11.059387054708779,0.20502065398531064
5.710060341236336,1304.2279338255003,183.04121726497115,97517.44706524171,18.30136452578087,0.3218127482039696
5.898140076148601,1444.6720903947858,201.1376258532126,97233.3297423416,27.856628543238195,0.472760188698129
6.045556749464667,1564.7392288112094,216.6535517704194,96989.45211379931,40.06513218601935,0.6629833919486973
6.1929734227807325,1694.0325907204926,233.39771078648394,96725.360898184,59.53330100747674,0.9629806909686701
6.340390096096798,1832.7165106982077,251.38941463793245,96439.54203404635,91.61511673435564,1.4524265029625325
6.487806769412864,1980.4371164038773,270.5780339768174,96130.4915856904,146.3653249216858,2.280203305986157
6.63522344272893,2135.743571649101,290.7652597902112,95796.84096600105,243.2910035441376,3.7338310666812466
6.76499251591841,2275.8353453992963,308.9698325259017,95481.98562383381,393.7188649734163,5.974782980870205
6.864704815383818,2382.2199470490277,322.7748865736705,95226.50078984843,582.502491320424,8.773417086555321
6.946997441124171,2465.825653493984,333.5955939219253,95007.0311204559,816.030201376706,12.223362777577483
7.019307448192814,2532.819711566631,342.228125672881,94808.18031569186,1107.994223419066,16.525331810384433
7.091617455261457,2589.594714009873,349.48311104785074,94604.37562640908,1516.384268687567,22.53007695372373
7.153752667462188,2625.9726978974804,354.0484436825571,94426.05855308057,1995.760651302977,29.56734819245365
7.215887879662918,2645.9213035721473,356.40777821644366,94245.78613708727,2634.7379915648658,38.93735786420326
7.270676063850326,2645.1742449674994,356.02907769097607,94086.24859268115,3368.7339703228613,49.69434576070383
7.325464248037734,2622.281200654494,352.68369573636755,93927.39814977393,4301.923411162011,63.3696654692074
7.3802524322251415,2572.1078127401493,345.68749008416216,93770.72352485714,5473.548233319086,80.54841481932446
7.429486754548552,2499.6855738624845,335.74600328889926,93633.26085055553,6758.802880761252,99.41646071534336
7.478721076871963,2398.477801364206,321.9601859817245,93500.49008561943,8281.429510560516,121.81456268528444
7.527955399195374,2267.2200559563134,304.1660912932779,93374.0130643514,10042.455295789403,147.80009930713155
7.577189721518785,2106.9324126920255,282.5060054686791,93255.44145265072,12020.74510043741,177.12355961674268
7.626424043842196,1921.4667658950323,257.5009732661121,93146.25652753864,14168.717247014287,209.16534964397755
7.676092474554779,1715.6854296248914,229.80489944133288,93046.83229615809,16433.130286120482,243.24465766956973
7.734554305612831,1461.9034790411902,195.6982889001872,92944.63293674205,19096.51475316521,283.87543730403297
7.782143928326142,1256.8436318031886,168.17122396140968,92873.49952216318,21157.99651555122,315.9089199761167
7.830656715076559,1058.2685963206857,141.53764945687698,92811.7911236301,23076.624839970555,346.41563281279076
7.8791695018269765,876.7873426061724,117.21498673745363,92760.2471952238,24753.745096032046,373.9334553073681
7.927682288577394,716.4491693730854,95.74011855287782,92717.83591407267,26158.65317359807,397.99431127369826
7.976549982955136,577.9023314491022,77.19481612284589,92683.15108951788,27292.992562937117,418.6084239838924
8.028717223546497,454.90790206228905,60.74039975458853,92653.63669532684,28209.220325153216,436.7701915508605
8.090208657283426,339.8755007281736,45.359841874513386,92626.92715486007,28943.457451889662,453.6242110069679
8.151700091020356,252.28200974218493,33.654635823889336,92607.03922821209,29367.110906415517,466.3477607349622
8.213191524757285,186.6334400466749,24.88651107977533,92592.30387668632,29546.788072830816,475.79045529065365
8.274682958494214,137.938174117625,18.385843198953616,92581.40971664836,29541.32324640049,482.70941845843737
